cap-diameter,cap-shape,gill-attachment,gill-color,stem-height,stem-width,stem-color,season,class
1372,2,2,10,3.80746675447994,1545,11,1.80427270862817,1
1461,2,2,10,3.80746675447994,1557,11,1.80427270862817,1
1371,2,2,10,3.61249629458381,1566,11,1.80427270862817,1
1261,6,2,10,3.78757180959258,1566,11,1.80427270862817,1
1305,6,2,10,3.71197101902061,1464,11,0.943194553897495,1
1337,6,2,10,3.77563484266016,1520,11,0.943194553897495,1
1300,2,2,10,3.83531967732224,1563,11,1.80427270862817,1
1354,6,2,10,3.67616011822336,1532,11,0.888450287786284,1
1222,6,2,10,3.77165585368269,1476,11,0.943194553897495,1
1085,6,2,10,3.77563484266016,1581,11,0.888450287786284,1
1214,6,2,10,3.69605506311072,1524,11,1.80427270862817,1
642,6,2,10,0.286061509417153,1311,11,0.943194553897495,1
814,4,2,10,1.18929200730331,1681,11,0.943194553897495,1
550,4,2,10,0.54867478193031,1220,11,0.888450287786284,1
606,6,2,10,0.254229597597377,1239,11,0.943194553897495,1
721,6,2,10,0.95055266865499,1445,11,0.943194553897495,1
595,6,2,10,0.604380627614919,1415,11,0.888450287786284,1
661,4,2,10,0.437263090561092,1150,11,0.888450287786284,1
587,6,2,10,0.596422649659975,1531,11,0.943194553897495,1
835,6,2,10,0.906783789902797,1603,11,0.888450287786284,1
705,4,2,10,0.0831330715660776,1122,11,0.888450287786284,1
599,4,2,10,0.576527704772615,1306,11,0.888450287786284,1
619,4,2,10,0.389515222831427,1195,11,0.943194553897495,1
648,6,2,10,0.727729285916554,1370,11,0.888450287786284,1
778,6,2,10,0.811288054443467,1514,11,0.943194553897495,1
692,6,2,10,0.652128495344584,1307,11,0.943194553897495,1
804,4,2,10,0.870972889105548,1517,11,0.888450287786284,1
660,6,2,10,0.982384580474766,1626,11,0.943194553897495,1
547,6,2,10,0.520821859088006,1191,11,0.888450287786284,1
846,6,2,10,1.17337605139343,1613,11,0.888450287786284,1
826,6,2,10,1.05002739309179,1593,11,0.888450287786284,1
834,6,2,10,1.01421649229454,1591,11,0.888450287786284,1
664,4,2,10,0.719771307961609,1140,11,0.943194553897495,1
763,6,2,10,0.819246032398411,1614,11,0.888450287786284,1
718,6,2,10,0.719771307961609,1291,11,0.888450287786284,1
594,6,2,10,0.743645241826442,1333,11,0.888450287786284,1
641,6,2,10,0.747624230803914,1577,11,0.888450287786284,1
840,4,2,10,0.962489635587406,1465,11,0.943194553897495,1
728,4,2,10,1.16541807343848,1577,11,0.943194553897495,1
539,6,2,10,0.787414120578635,1394,11,0.888450287786284,1
605,4,2,10,0.914741767857741,1561,11,0.943194553897495,1
613,6,2,10,0.660086473299528,1352,11,0.888450287786284,1
675,6,2,10,0.608359616592391,1499,11,0.943194553897495,1
510,6,2,10,0.409410167718788,1172,11,0.943194553897495,1
618,6,2,10,0.711813330006665,1510,11,0.943194553897495,1
638,6,2,10,0.652128495344584,1635,11,0.888450287786284,1
585,4,2,10,0.676002429209417,1332,11,0.943194553897495,1
837,6,2,10,0.668044451254472,1323,11,0.888450287786284,1
688,6,2,10,0.847098955240716,1421,11,0.888450287786284,1
805,6,2,10,0.210460718845184,1330,11,0.943194553897495,1
762,6,2,10,0.723750296939081,1484,11,0.888450287786284,1
640,6,2,10,0.664065462277,1250,11,0.888450287786284,1
699,4,2,10,0.962489635587406,1506,11,0.943194553897495,1
674,6,2,10,0.429305112606148,1667,11,0.943194553897495,1
662,6,2,10,1.05798537104674,1755,11,0.943194553897495,1
736,6,2,10,0.779456142623691,1404,11,0.943194553897495,1
563,6,2,10,0.616317594547336,1419,11,0.943194553897495,1
756,6,2,10,1.05400638206926,1392,11,0.943194553897495,1
705,4,2,10,1.08185930491157,1534,11,0.888450287786284,1
802,6,2,10,1.2489768419654,1578,11,0.888450287786284,1
591,6,2,10,0.0601105316229171,1166,11,0.943194553897495,1
708,4,2,10,0.851077944218188,1533,11,0.888450287786284,1
717,4,2,10,0.807309065465995,1499,11,0.888450287786284,1
573,4,2,10,0.723750296939081,1375,11,0.888450287786284,1
622,4,2,10,1.16939706241595,1482,11,0.943194553897495,1
516,6,2,10,0.425326123628676,995,11,0.943194553897495,1
763,6,2,10,0.679981418186889,1396,11,0.943194553897495,1
592,4,2,10,0.99034255842971,1615,11,0.888450287786284,1
580,4,2,10,0.329830388169346,1368,11,0.888450287786284,1
635,6,2,10,0.429305112606148,1241,11,0.943194553897495,1
626,6,2,10,0.369620277944067,1443,11,0.943194553897495,1
793,6,2,10,0.795372098533579,1485,11,0.943194553897495,1
607,6,2,10,0.449200057493508,1190,11,0.888450287786284,1
528,4,2,10,0.266166564529793,1355,11,0.943194553897495,1
758,6,2,10,0.660086473299528,1336,11,0.888450287786284,1
780,6,2,10,0.353704322034179,1405,11,0.943194553897495,1
855,4,2,10,1.04604840411432,1575,11,0.888450287786284,1
752,4,2,10,0.731708274894026,1273,11,0.888450287786284,1
700,6,2,10,0.954531657632462,1414,11,0.888450287786284,1
582,4,2,10,0.803330076488523,1288,11,0.943194553897495,1
693,4,2,10,0.863014911150604,1245,11,0.943194553897495,1
657,4,2,10,0.632233550457224,1477,11,0.943194553897495,1
645,4,2,10,0.516842870110534,1301,11,0.888450287786284,1
677,4,2,10,0.735687263871498,1477,11,0.943194553897495,1
722,6,2,10,0.672023440231945,1331,11,0.943194553897495,1
738,6,2,10,0.699876363074249,1549,11,0.888450287786284,1
566,6,2,10,0.544695792952838,1353,11,0.943194553897495,1
736,4,2,10,0.652128495344584,1417,11,0.888450287786284,1
614,6,2,10,0.843119966263244,1468,11,0.888450287786284,1
614,6,2,10,0.962489635587406,1156,11,0.888450287786284,1
821,4,2,10,1.0778803159341,1632,11,0.888450287786284,1
745,6,2,10,0.958510646609934,1749,11,0.888450287786284,1
624,6,2,10,0.492968936245701,1372,11,0.888450287786284,1
713,6,2,10,1.08583829388904,1523,11,0.943194553897495,1
677,4,2,10,0.894846822970381,1534,11,0.888450287786284,1
692,6,2,10,0.421347134651204,1413,11,0.888450287786284,1
731,6,2,10,0.481031969313285,1319,11,0.943194553897495,1
639,4,2,10,0.616317594547336,1509,11,0.943194553897495,1
725,4,2,10,1.36834651128956,1747,11,0.943194553897495,1
869,4,2,10,1.18133402934837,1828,11,0.888450287786284,1
749,4,2,10,1.22510290810056,1537,11,0.943194553897495,1
592,6,2,10,0.485010958290757,1273,11,0.888450287786284,1
680,6,2,10,0.946573679677518,1489,11,0.943194553897495,1
783,4,2,10,0.743645241826442,1336,11,0.943194553897495,1
673,6,2,10,0.54867478193031,1544,11,0.888450287786284,1
505,4,2,10,0.0473221707688289,1046,11,0.943194553897495,1
655,4,2,10,0.421347134651204,1156,11,0.888450287786284,1
595,6,2,10,0.441242079538564,1413,11,0.943194553897495,1
809,4,2,10,0.469095002380869,1220,11,0.888450287786284,1
773,4,2,10,0.807309065465995,1373,11,0.888450287786284,1
796,4,2,10,0.870972889105548,1531,11,0.888450287786284,1
698,6,2,10,0.831182999330828,1436,11,0.943194553897495,1
714,4,2,10,0.676002429209417,1211,11,0.943194553897495,1
707,4,2,10,0.982384580474766,1768,11,0.943194553897495,1
765,4,2,10,0.75956119773633,1314,11,0.888450287786284,1
642,6,2,10,0.457158035448453,1364,11,0.943194553897495,1
646,6,2,10,0.795372098533579,1557,11,0.888450287786284,1
755,6,2,10,0.564590737840199,1534,11,0.943194553897495,1
803,4,2,10,1.03013244820443,1582,11,0.888450287786284,1
702,4,2,10,1.16939706241595,1501,11,0.943194553897495,1
727,4,2,10,1.12164919468629,1659,11,0.888450287786284,1
584,4,2,10,0.556632759885254,1316,11,0.888450287786284,1
679,6,2,10,0.954531657632462,1430,11,0.888450287786284,1
775,4,2,10,0.930657723767629,1578,11,0.943194553897495,1
814,4,2,10,0.544695792952838,1552,11,0.943194553897495,1
698,4,2,10,0.87495187808302,1570,11,0.888450287786284,1
741,6,2,10,0.492968936245701,1287,11,0.888450287786284,1
944,6,2,10,1.56331697118569,1965,11,0.888450287786284,1
816,4,2,10,0.910762778880269,1519,11,0.888450287786284,1
672,6,2,10,0.492968936245701,1470,11,0.888450287786284,1
663,6,2,10,0.668044451254472,1404,11,0.888450287786284,1
612,6,2,10,0.668044451254472,1322,11,0.943194553897495,1
725,6,2,10,0.592443660682503,1437,11,0.888450287786284,1
676,6,2,10,0.779456142623691,1358,11,0.943194553897495,1
738,4,2,10,1.06594334900168,1535,11,0.888450287786284,1
708,6,2,10,0.648149506367112,1560,11,0.943194553897495,1
748,4,2,10,0.64417051738964,1390,11,0.888450287786284,1
748,6,2,10,0.564590737840199,1408,11,0.943194553897495,1
825,6,2,10,0.978405591497294,1630,11,0.888450287786284,1
664,4,2,10,0.616317594547336,1238,11,0.888450287786284,1
790,6,2,10,1.04604840411432,1795,11,0.888450287786284,1
570,6,2,10,0.512863881133062,1309,11,0.943194553897495,1
561,4,2,10,0.329830388169346,1137,11,0.943194553897495,1
724,4,2,10,0.99034255842971,1502,11,0.888450287786284,1
647,6,2,10,1.20122897423573,1758,11,0.943194553897495,1
722,6,2,10,0.45317904647098,1379,11,0.943194553897495,1
634,4,2,10,0.520821859088006,1312,11,0.888450287786284,1
638,6,2,10,1.0778803159341,1569,11,0.888450287786284,1
593,6,2,10,0.902804800925325,1415,11,0.943194553897495,1
648,6,2,10,0.385536233853955,1306,11,0.943194553897495,1
726,6,2,10,0.520821859088006,1269,11,0.888450287786284,1
798,6,2,10,0.974426602519822,1687,11,0.943194553897495,1
680,4,2,10,1.02615345922696,1603,11,0.888450287786284,1
725,6,2,10,0.819246032398411,1576,11,0.888450287786284,1
738,4,2,10,0.64417051738964,1269,11,0.943194553897495,1
730,4,2,10,1.05002739309179,1618,11,0.943194553897495,1
849,4,2,10,1.42803134595164,1951,11,0.943194553897495,1
589,6,2,10,0.632233550457224,1529,11,0.943194553897495,1
540,6,2,10,0.31789342123693,1109,11,0.888450287786284,1
709,6,2,10,0.481031969313285,1400,11,0.888450287786284,1
651,6,2,10,0.922699745812685,1770,11,0.943194553897495,1
755,6,2,10,0.767519175691274,1473,11,0.888450287786284,1
831,4,2,10,0.707834341029193,1687,11,0.888450287786284,1
697,6,2,10,0.866993900128076,1547,11,0.943194553897495,1
626,4,2,10,0.500926914200645,1349,11,0.888450287786284,1
668,4,2,10,0.401452189763844,1259,11,0.943194553897495,1
788,4,2,10,0.568569726817671,1553,11,0.943194553897495,1
679,6,2,10,0.994321547407183,1503,11,0.888450287786284,1
825,6,2,10,0.998300536384655,1649,11,0.943194553897495,1
721,6,2,10,0.87495187808302,1570,11,0.943194553897495,1
769,4,2,10,0.516842870110534,1429,11,0.943194553897495,1
697,4,2,10,0.660086473299528,1578,11,0.888450287786284,1
756,6,2,10,0.763540186713802,1531,11,0.888450287786284,1
726,4,2,10,0.409410167718788,1103,11,0.943194553897495,1
749,4,2,10,0.807309065465995,1608,11,0.888450287786284,1
808,6,2,10,0.994321547407183,1527,11,0.888450287786284,1
737,6,2,10,0.719771307961609,1377,11,0.943194553897495,1
673,4,2,10,0.516842870110534,1524,11,0.888450287786284,1
646,6,2,10,0.779456142623691,1410,11,0.888450287786284,1
724,4,2,10,1.23306088605551,1755,11,0.943194553897495,1
694,6,2,10,0.596422649659975,1328,11,0.943194553897495,1
760,4,2,10,0.994321547407183,1559,11,0.888450287786284,1
581,6,2,10,0.584485682727559,1231,11,0.888450287786284,1
672,4,2,10,0.707834341029193,1421,11,0.943194553897495,1
707,4,2,10,0.755582208758858,1395,11,0.943194553897495,1
711,4,2,10,0.636212539434696,1561,11,0.888450287786284,1
798,4,2,10,0.795372098533579,1694,11,0.943194553897495,1
